高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
昆明安宁吾悦广场	昆畹中路与金方路交汇处西侧	102.4852210,24.9264280
佳宁苑	天津港散货物流区金岸一道以南（海滨大道以西）	117.7051510,38.9606100
富景学府新城	沈辽西路139号	123.2372200,41.7296420
宝阁丽公馆	朝阳南路168号（南二环田鸭肠旁）	103.9468380,30.9730950
蓝天白云	蓝天白云位于白云铝建路65号	106.6449090,26.6795450
招商雍和苑	太湖大道与龙山路交界处（致远大厦西）	120.4202310,31.3393960
玫瑰绅城花园	包河-合家福购物街-淝河路99号	117.3164420,31.8322150
中天诚品	秦汉新城大秦文明园西侧	108.8650370,34.3979140
凤凰小城	梅子北三街与梅子西路交叉口	114.2182650,30.5220180
上海长滩	宝山牡丹江路富锦路	121.4800660,31.4139080
卓越和悦	火炬路与崇德路交叉口西侧	120.2377900,36.2467790
合景叠翠峰	郭新东路199号	120.6988120,31.2484220
东岭国际城	金台区宝鸡市金台区马营路东段	107.1803260,34.3639920
通用昱墅	港东公路66弄	121.4265090,31.6562820
大通悦府	桐乡市振东新区世纪大道与校场东路交叉口东南侧	120.5709930,30.6207360
翠湖御景	湖北路关庄体育馆对面	117.1625980,34.2505280
中锐星尚城	新城区汉源大道丽水路交汇处（徐州工程学院南门正对面）	117.2900220,34.1898960
东城国际-悦澜湾	东二环与天威路交叉口东北角	115.4622750,38.8588810
云山汇景豪园	三乡镇兴塘一路（G105国道旁）查看地图	113.2289730,22.0474300
宏远-凤凰栖	黄坝大桥南侧（十方堂公园旁）	103.4403980,30.4061030
世茂牟山湖	余姚牟山湖休闲度假区	120.9954960,30.0761230
欧蓓莎家居建材城	徐海路66号（京福高速东300米）	117.3158260,34.2782190
恒通蓝湾国际	兴城西路与真州路交叉口西南角	119.3597160,32.3797140
鸿晖康怡名都	平洲公园东侧	113.2095960,23.0380490
惠州融创玖樾台	迎宾大道东	113.6122380,23.5658280
远洋杭州大运河商务区	拱墅大关路101号	120.1439600,30.3051200
歌林花园林语境	巨龙大道（管委会地铁站出口）	114.2659910,30.7086280
一诺-阳光鑫城	兰雁大道与西四路路口东300米路北	118.0438820,36.8341340
升利悦湖会	环湖三路与惠沙堤二路交汇处	114.4348770,23.0750750
深港宝阁丽	东安路与新竹路交汇处	120.4005070,31.5799030
金成江南壹品	壮锦大道8号	108.2727330,22.7975050
宝安江南城	杨柳青镇元宝岛西侧青静路66号	117.0020940,39.1252280
御唐府	璜塘镇湖西路西侧，方圆路东	120.3475660,31.7716310
百润时代	浦东申港大道133号(申港大道和山兰路交汇处)	121.9250620,30.8962750
湖畔学苑	昌东大道与艾溪湖四路交汇处	116.0051509,28.7050632
易和上品幸福里	永定街与北城河路口原永定小学（富民县政府斜对面）	102.4940310,25.2185450
东湖第一城	螳川东路东湖兴苑	102.5075530,25.2238260
涌鑫哈佛中心	彩云南路与聚贤街交汇处	102.8370240,24.8530530
义方家园	文昌文昌市文城云逸路（文昌中学初中部侧）查看地图	110.7637290,19.5952590
南沙保利城	市南大道与鸡谷山路交汇处	113.4980760,22.8306800
恒大御山华府	金斗山路与金堡路交汇处西300米	121.4601380,37.4260810
墅外	川周公路2826号	121.6186180,31.1446160
凯茵花园	成才路1号	113.1473570,22.8548000
品泽轩	龙华镇和平西路与中环路交汇处西	114.0220270,22.6498540
康桥玖玺园	中原区秦岭路淮河路交汇处	113.6028650,34.7305210
弘阳广场	中吴大道与长江路交汇处	119.8126390,31.7752570
安吉缓山铂岭	浙江省湖州市安吉县JW万豪酒店（环城南路一号）	119.7129810,30.6117660
天阳尚景国际	拱墅萍水路与永固路交叉口	120.1193030,30.3064940
荣城华府	新港大道景山学校往西300米	118.5776690,39.1706730
自由半岛	木兰丰天大道特1号	114.4709290,31.0767110
美成新都	小河松花江路37号（交警五大队侧）	106.7134980,26.4981870
禹洲-博学家	大学城联东U谷旁	106.2826690,29.3942390
恒大金陵悦府	长海路恒大金陵悦府	119.9068050,30.9973870
交投山海颂	昌江棋子湾开元酒店对面查看地图	108.6908080,19.3582590
怡海花园	丰台南四环西路129号	116.3044580,39.8340110
金隅78墅	通州梨园镇八通线土桥站东300米	116.6860370,39.8727510
文鼎嘉苑	榆山街道平阴县府前街西段文鼎嘉苑(原体育场)	116.4477560,36.2913310
旭辉千山凌云	高新二路与光谷大道交汇处	114.4175570,30.4783300
梧桐华池	三原县池阳街西段	108.9213770,34.6106510
景香苑	金霞开发区内开福区法院新址边	112.9873520,28.2525910
龙华苑	四明街与育才路交口南行500米路西	114.8145760,38.0166580
海棠中央	海棠广场对面海岸大道前行1公里路北	109.7244650,18.3271310
旭辉燕南园	南奥体津涞公路旁	117.1593680,39.0568860
颐和九里	海桥路与海峡大道交汇处	118.5929880,32.0244530
蓝光锦云天府	华府大道与万顺路一段交汇处	104.0285160,30.4924580
彩叠园	鹏程路808号	103.8803840,30.6730960
禹洲嘉荟星岛	望亭镇鹤溪路与光明街交汇处	120.4491670,31.4233060
富盈山水华庭	常平还珠沥村南端	113.9921260,22.9520210
合景泰富香悦四季	顺恒大街合景香悦四季西二区	117.2340310,40.6589600
和稳蜜方城	仲恺高新开发区惠风五路88号	114.3500610,23.0374670
实地海棠名著	凤凰西七路28号	104.2579870,30.8924980
宝冠水岸芳洲	青岛胶州市经济技术开发区诚名街3号	120.0779730,36.1544310
正荣府	永富路与丁家洲交汇处	115.8539010,28.6194560
乐富强悦湖熙岸	长江西路与方兴大道交口南500米	117.0994650,31.8420900
金府名门	眉山市东坡区阜成路东五段66号	104.0968250,30.6220970
望湖莫奈花园	嘉兴市城南由拳路翠柳路路口（第一医院南约500米）	120.7403150,30.7314780
三箭瑞景苑	二环北路与药山西路交叉口	116.9630720,36.7151180
赞成-隐庐	吴兴湖州市湖东路与大升路交叉口（规划湖东小学正南面）查看地图	121.5811980,31.2701830
红旗小区	红旗大街与工农路交叉口	114.4595250,38.0316970
岭秀青城	大观镇茶坪村（茶坪村村委会附近）	103.5591820,30.8576930
宋都广宇锦洲府	泰坦大道与三花路交叉口（红星美凯龙北侧）	120.8516580,29.5057850
摩尔尚城	工业园区唯亭金陵路北阳澄路东	120.7970350,31.3787960
万通华府	新城东路48号（广达街和广场西路交汇处）	117.7098000,39.0231280
丽阳雅居	襄河路以北、龙岗路以西	117.3765210,31.8636420
沈铁家园	昆明北街1号	123.3974820,41.7937500
滨海公馆[莱州]	三山岛街道城港路与永祥路交叉口（西200米路南）	119.9535750,37.3772040
鸿通伴山半岛	巴江中路西侧	104.0697380,30.6466180
骏皇嘉园	福田新沙二路南	114.0814640,22.5341840
金地格林Line	句容句容市宝华镇宝龙大道与环山河交界处查看地图	118.8832870,31.5863750
合生御山花园	长宁镇罗浮大道东69号	114.0529970,23.2239980
海一方	东海开发区柳海村北800米	120.4248400,37.6987780
MAX未来	松花江路255号（青城山路和富春江路交汇处）	120.4220940,31.3471890
福瑞尊府	上林上林县明橙大道496号福瑞尊府营销中心查看地图	108.6107250,23.4067350
中建南湖壹号	雄楚大道中建南湖壹号	114.3495320,30.5025170
蓝光恒翔锦悦嘉苑	乌镇大道与秋韵路交叉口	120.5478650,30.6590730
昆仑域	翠林路北京西铁营投资管理公司对面	116.3506830,39.8588990
高科紫星荣院	东至润苏路、南至四望路、西至福宁路、北至现状	118.9670200,32.0879040
新野蓝郡	古冶林西唐百大楼南侧原五三工房（南甲工房）	118.4563420,39.7153420
金地悦峰里	恬园路与城北路交汇处	120.7375370,30.7793140
翡翠正荣府	上派镇翡翠路与仙霞路交口	117.1520440,31.7229660
龙庭华府	汉阳大道与汉江路交汇处	114.0481140,30.5738280
海富海	青云山路222号	120.2228200,35.9532240
天润新苑小区	老收费南、新丰黄路西	116.6733640,34.8656560
金汇苑	澄海莲下镇大坪工业区莲凤路南侧	116.7980970,23.4922070
大发长安融悦四季	长江东路与大众路交汇处	117.3984370,31.8348900
万科金域华庭	金沙正街国盛大桥旁	106.4534220,29.5754830
荣安旭辉东宸府	灵龙大道荣安旭辉东宸府	120.5044150,27.5248110
绿地海珀香庭	锦业路与丈八二路十字东北角	108.8801030,34.1939090
君庭云邸	王筇路与商业路交叉口	102.6510310,25.0912520
缇香一品	合兴路与育才南路交汇处（甪直人民医院附近）	120.8736650,31.2605180
天元世家	红星路28号	120.2894840,31.5628780
云峰苑	湖州新市陌路（湖州师范学院西区以北）	120.1232480,30.8721750
前城大厦	合肥市环湖东路与合欢路交口西北方向	117.2116400,31.8241600
京能-丽墅	首镇路与育林街交汇路口西南角	116.6314110,39.6597860
旭辉都会山	枫林二路36号	112.9261060,28.2079520
南湖红星国际广场	天和城天和路与藕甸道交口	117.1197690,39.3254110
恒福天悦	狮山镇广云路303号（华立医院对面）	113.0015000,23.1312900
碧桂园星荟	启辰街与莲祥路交口东行500米路南	114.4142980,37.9738140
岐江壹号	安栏路193-201号（中山二路岐江公园对岸）	113.3649370,22.5138440
蓝天雅居	张周路蓝天雅居2期	117.9261380,36.8042170
中海万锦世家	官窑瑶平路39号	113.0721380,23.2219180
建业深干线	惠阳区淡水石桥熊老屋村	114.4630960,22.7737080
阳光华庭	西影路与万寿南路交汇处（阳光小区南门）	109.0110130,34.2373940
华润置地悦府	谢家湾正街45号	106.5183870,29.5189010
世纪新城	南文二路，北高技路，东通普路，西教五路	120.1169640,30.2838940
香江名筑	胶北街道办事处弘博路以东、香江路以北	119.9739620,36.3662290
华都龙山庄园	环翠路68号	119.6915190,30.6101460
华远海蓝城	腾飞南街华远海蓝城	116.0501520,39.4647590
文一云溪湾	龙岗路与新安江路交口南200米	117.3765210,31.8596430
师大桐栖学府	隆化大道16号	107.0884290,29.1700910
海逸半岛	吴川海港大道南（财政局旁）查看地图	113.6082150,22.7718710
海湾名悦豪庭	瞭海路159弄	121.5674250,30.8661640
南湖花园	百安北路23号	113.1435970,22.7188520
科大钱塘玉园	海盐县昌平路	120.9412710,30.5247000
中瑞恒泰-东湖	开阳县迎宾大道9号	106.6301490,26.6461090
同利康园	惠风西四路5号	114.3420150,23.0102200
保利紫荆公馆	智慧四街16号	123.4605260,41.6898690
万科城市之光	东至乙三路、南至南阳北路、西至丁三十三路、北至景阳大路	125.1490410,43.8228050
鹤尚美墅	鹤上镇东鹤路鹤上中学对面	119.5429390,25.9502050
电建地产洺悦府	能源金贸区西安高新一中西咸第一中学（暂定名）南侧	108.9466720,34.3289420
江境1265	安阳路与滨江大道交叉口	120.6381050,27.7580120
中南無山居	中心大道中南無山居	107.9126770,34.1466720
长平祥和苑	莱西黄海路和青岛路交汇处	120.5137650,36.8628850
颐禾郡	318国道颐禾郡	114.0282410,30.4499600
玉峰	晋原镇潘家街三段23号	103.5372840,30.5787520
金桥大厦	长宁-虹桥-延安西路2077号	121.4074830,31.2038240
海亮珑园	云海路999号（桃花南路以东）	115.8733400,28.6168170
国颐-颐年城	濂溪大道和木樨路交汇处	116.0043860,29.6579580
金科源江筑	滨江新市区同济路以北、江海路以东	120.9268060,31.7444360
龙门天玺	纬五路与海兴路交汇处东北方向	121.5100920,37.4138650
澜悦华庭	徐州鼓楼・殷庄路与红星路交汇处（苹果汇邻湾东北侧）	117.2114830,34.3088390
世茂云图	西江北街与沈北西路交汇处西行100米	123.3386220,41.9095330
君悦湾	振华街1号（河滨路北首）	121.2893620,37.5359850
越秀星汇云锦	中山大道1号	114.2521800,30.5703890
天泰天空之城	莱青路365号	120.6711190,36.4232570
金地名京	建邺区云锦路139号（集庆门大街以南，所街以北）	118.7428630,32.0262560
中梁金科启宸	河滨东路中梁金科启宸	119.8986300,31.7565240
江南明珠	复兴路与水澄路交汇口	120.1520580,30.2040240
悦盈尚寓	南朗镇南岐南路1号查看地图	113.5478030,22.4682270
瑞云居	兴业南路22号	114.2876650,30.6301800
万豪滨江公馆	贵阳市经开区开发大道2号	106.7071830,26.4635840
中源名都	端州星湖大道中源名都	112.4999570,23.0813450
金朗园	津南-咸水沽-韩城桥路	117.3952420,38.9791480
凤岗碧桂园	凤清路凤岗碧桂园	114.1146980,22.7817870
公安局宿舍	小清河北路，公安局西邻	116.9405990,36.6947460
五洲现代城	金台区宝鸡市金台区东风路28号	107.1813570,34.3639880
富都花园	震泽八都铜七线与贯南一路交汇处	120.4507000,30.9124530
美好铂翠	包张路与锡洲路交叉口西北侧	120.3396200,31.5899770
米澜国际	北环城路与农安北街交汇处	125.3034010,43.9512860
中信国安府	琉璃厂西侧	116.3850890,39.8953530
正荣-城墅	龙湖镇大学南路西泰山景区东侧	113.6461620,34.5831400
万锦府	宝坻-宝坻-宝中道	117.2779940,39.7625080
新海家园	合肥新安江路南与郎溪路西	117.3579830,31.8596880
世茂天越	五羊邨地铁站A出口（往南前行100米）	113.3138110,23.1184970
名流印象	惠州实验中学对面（惠深高速路口）	114.3978570,23.0544500
嘉韵公园里	淮阳路许昌路交叉口向南200米路西	113.2985140,34.7990460
潼南益欣芭堤香郡	潼南南城新区创意大道旁	105.8160960,30.1619930
浏阳奥园广场	锦程大道与复兴路交汇处东南角（香槟现代城旁边）	113.6525300,28.1599770
厦门国际中心	鹭江道275号	118.0749860,24.4649220
凯旋公馆	迎宾大道与邮政路交汇处（南昌现代外国语学校旁）	115.8892330,28.6793700
北控瀚棠	祝塘镇东至纵三路、环北路南，环东路西，镇北路北侧	120.3473560,31.7608310
东华星域	江南大道中79号	113.2707500,23.1051290
檀府印象	庆林路17号	108.4062280,22.7422130
新西湖小镇	杭泰路69号	119.9216250,30.2391260
正商河峪洲	江山路与沿黄快速路{S314}交会处向西1000米	113.5211250,34.9018960
珍贝金鼎国际	大港路东侧吴兴大道北侧	120.2733540,30.8600240
新郝家园	昌平-昌平县城-南郝庄路	116.2166270,40.2143140
新力君悦湾	惠州市仲恺高新区惠风东三路与和畅东六路交汇处	114.3648500,23.0140590
新东邦晓悦湾	西城街道隆化大道18号	107.0863760,29.1671310
美的领贤公馆	天明路和褚云璐交界	113.2037400,22.9468440
新城市宜家	大石镇富丽家园大山路以南1号	113.3147100,23.0185060
万科时代之光	济阳区G220与同德街交汇处东行100米路北	117.1301260,36.9437210
力诚凯怡湾	镇新塘大道12号	113.6068940,23.1146580
锦绣里	锦绣路4号	108.3173670,22.7663760
天健国际公馆	中泰路9号（中泰路与中文路交汇处）	108.3928700,22.8077580
新城丽景	兴民路与润长路交叉口	119.9082710,31.0294180
芝景苑	芝罘芝罘岛佳苑北街以北	121.3810800,37.6068850
江景花园	沿江公路	121.0295570,31.8420350
神州花园	六纬路与中环线交口处	117.2666040,39.1175890
特区报社公寓	福田-景田-新闻路	114.0434610,22.5416250
恒大名都	巨龙大道33号（下岱黄高速右行500米）	114.2929100,30.6988640
盛大泽西城	岳麓大道与岳华路交汇处，毛泽东文学院旁。	112.9455000,28.2267920
荷兰岛郁金香庄园	氿南路宜园对面西侧300米郁金香庄园售楼处	119.7924320,31.3631000
南丽湖上的时光	定安南丽湖风景名胜区查看地图	110.3711890,19.5040430
兆润云顶汇	苏州大道东266号（南施街站东侧）	120.7347250,31.3252890
旭辉城	云东海街道南丰大道99号	113.3693560,23.1249220
七号国际	七厂十字东北角	108.7025000,34.3354770
丽晶维港	丽晶路9号	110.2930890,20.0251070
红枫金座	关山大道与纺织路路口交汇处（武汉职业技术学院对面）	114.4093250,30.4846810
顺景花园	龙岗区龙翔大道	114.2414400,22.7138090
越秀亲爱里	铃兰路219号	112.8514980,28.1889160
启美新城	银海大道祥和路（金象三区）	108.3287150,22.7342400
融创东城首府	沙边路南50号	113.4472840,22.5543540
弘燕路小区	北京市朝阳区十八里店	116.4827290,39.8513030
嘉和香水湾	和顺大道889号	105.9446990,29.3447260
观澜华庭	紫云路和清潭路交汇处	117.2685180,31.7408990
玺岳	河北大街与新三条石大街交口	117.1796100,39.1519540
香槟橙郡	洪湖北街1号	123.3097530,41.8071450
翰林世家	太湖路与仁皇山路交叉口（仁皇山新区S18号地块）	120.0980140,30.8970570
五洲富山园	斗门区乾务镇富山十路266号	113.1551260,22.1956480
中梁中奥溪涧堂	梁溪区庆丰路与通江大道交叉口西南侧	120.3103100,31.5972080
碧桂园柏丽湾	滨江路与工业大道交叉口附近	113.6696300,22.8292380
江畔豪庭	大桥沿江边滨江路	113.8495500,23.1138750
永川碧桂园翡翠郡	永川重庆市永川区.人民大道999号（永川兴龙湖中学旁.兴业大道入口处）查看地图	105.9267660,29.3553270
佳信-站前广场	重庆市万州区双河口火车站站前路	108.3986160,30.7557890
时代香海北岸	神湾金凤路南	113.5428890,22.3450530
金海湾龙门府	南通市通州湾高级中学北150米	121.4480900,32.1553310
寰宇上都	包河区望江东路与当涂支路交汇处	117.3108470,31.8278570
东山府锦	佳美路与成龙大道三段交叉口东北50米	104.2491370,30.5383120
中冶逸璟公馆	环岛北路中冶逸璟公馆	113.4582310,22.1293330
恩歌源鼎湖御景	恩歌源鼎湖御景	112.5419340,23.1315940
蓝天城市大厦	北关大街650号	121.5986410,37.3902420
保利拉菲	雄楚大街(南湖北岸)	114.3642630,30.4976920
宏福景苑	头桥海马冲路	106.6919780,26.5822710
建发独墅湾	郭巷街道东方大道3666号,独墅湖生态公园南50米（东方大道与赏湖路交汇处）	120.7019930,31.2488210
海西-龙凤湾	环岛东路和麒麟大道交汇处	119.8063070,25.4991850
曲江观邸	曲江雁塔南路299号（雁塔南路和雁南五路交汇处东南角）	108.9645900,34.1893400
两江御园	龙盛新区两江影视国际城(国际城大桥西侧)	106.8127390,29.6868650
怡心湖岸	成都市双流区华府大道四段	104.0142550,30.4717950
仙林苑	庆春路，中山北路	120.1696380,30.2582030
苏州唐宁府	钟南街118号	120.7586400,31.3133100
恒明ONE	龙岗区龙平西路与爱心路交汇处	114.2264090,22.7296390
源海仙村一号	荔新大道与仙村大道交汇处	113.7178370,23.1891860
联海国际	桂城金融B区中央大街京华广场营销中心	113.1596640,23.0691030
IN半岛里	融汇大道1号重百超市旁	106.5207140,29.4637530
积家桦庭	简阳市凤山路113-129号	104.5478240,30.3728110
铁投-领郡东城	渭滨高新十二路东支一路查看地图	107.2906480,34.3364360
黄龙金茂悦	西湖益乐路和余杭塘路交叉口	120.1133220,30.2936280
立文花语水岸	龙桥大街西段	108.9325830,34.6292810
中海金沙湾	南海大沥镇黄岐建设大道1号（浔峰洲收费站旁）	113.2022820,23.1399360
招商新城雍景湾	朝霞东路招商新城雍景湾	121.0404910,31.1166980
博长山水香颐	时代阳光大道330号	113.0471560,28.0934550
城建春光山色	劲松六路96号	120.4284550,36.1118590
卓达星辰花园	长江大道与昆仑大街交口东北角	114.6198220,38.0378510
恒泰湘壹府	开福大道与星月路交汇处西南角（青竹湖湘一外国语学校斜对面）	112.9668360,28.3396090
中交春风海上	华山道春风海上	117.6376950,39.0822320
DK国际	良庆五象大道与飞龙路交汇处查看地图	108.3863070,22.7661990
鸿坤理想尔湾	涿州市码头镇健康城出口东行2.5公里	116.0380220,39.5573520
百合盛世	友谊路35号	114.2359450,22.7426060
嘉辉-罗浮公馆	博罗县长宁镇政府对面	114.0410950,23.2065740
贵爵公寓	正阳路159号	120.4132690,36.3061790
奥山府	重庆市北碚区复兴镇思源路	106.5522020,29.7982390
万豪东方广场	经开洋浦大街与吉林大路交会	125.4224620,43.8819710
Aloha阿罗哈别墅	陵水英州镇清水湾大道8号查看地图	109.8936560,18.4126750
中央大学城	道义经济开发区正义三路	123.4116230,41.9174410
青岛花园	段泊岚镇科大路52号	120.3717930,36.5302510
友邻茉莉花开	河南岸斑璋湖一横街8号	114.4179190,23.0763270
澳城大厦	长安南路86号	108.9431890,34.1941060
中苑名都	中原路与大学路交汇处金水河畔	113.6438250,34.7456750
今日田园	友爱镇子云路98号	103.8051400,30.8224790
万科天一玖著	天昌路南侧、凤鸣路西侧	120.3074290,31.6456350
仁恒公园世纪	东至燕园路，南至观音门街，西至燕春路，北至电瓷厂街	118.8238410,32.1433360
中粮首创禧瑞祥云	沪南路7635号	121.6642920,31.0326740
旭日上城	大桥北路69号（红太阳销售中心，大桥北路东侧，毛纺厂路北侧）	118.7206100,32.1395490
东岳国际	桓台柳泉北路与桓台大道交汇处	118.0779060,36.9448140
光明-时光集	燕州路188号	108.3419000,22.8462230
福清保利金香槟	福清福清市观音埔片区东大路中段查看地图	119.3639120,25.6991180
璧山利雅白云湖	璧山青杠白云湖风景区(成渝高速青杠出口处)	106.1987830,29.6326730
香港置地嘉景湾	两江新区金海大道滨江路	106.4812050,29.6969130
大华水岸蓝桥	真华路999弄	121.4101600,31.2754290
古镇雅居乐花园	中山市古镇镇信乐路80号	113.3662940,22.3278400
横琴紫檀文化中心	大道北侧、艺文五道东侧、彩虹路南侧、艺文三道西侧	113.5440940,22.2787030
天伦华庭	莲西路3188号（对面是南昌现代外国语学校）	115.9155640,28.5862230
康湖杏花村	赵林大道杏花村	114.1237110,22.9588500
中德足球小镇-当代御泉府	贵安大道温泉会议中心旁	119.4182590,26.2131120
贵阳经开吾悦广场	经开区中桐路与浦江路交汇处（地铁1号线始发站小孟工业园站）	106.7092300,26.5138130
豪世优庭	天长路与长江东路交口	117.3187240,31.8678490
里约荟	芙蓉北路163号（波隆立交桥的东北角）	112.9902980,28.2306850
龙湖东湖高新-春江郦城	硚口长丰大道与古田二路交汇处查看地图	114.2023830,30.6091220
余姚中南漫悦湾	迎霞北路与欣朗路交汇处	121.2774940,30.9825320
长岛国际度假区别墅区	九丈崖街5号（月牙湾西侧北长山乡店子村）	120.7040500,37.9883750
弘悦101	二郎（原火炬大道101号）渝高中学旁	106.4678460,29.5031130
融创香溢天地	普陀石泉东路215弄	121.4317430,31.2537440
远洋御山水	北辰大道以东、启源二路以南	108.9977340,34.4022980
铁三宿舍	大经街与光明路交口西北角	114.4966680,38.0368110
海信岱岳府	金沙江路与泰山路交汇处东100米（金沙江路12号）	121.2762900,37.5567200
和悦财富天下	万北东路与东环南路交叉路口（新世纪学校南侧）。	119.8016390,25.4911810
帝华鸿府	槐安路与上庄大街交叉口西南角	114.3763220,38.0220760
滨江左岸	宝兴路与文种南路交叉口	120.1996420,29.7246210
富力城书香里	大学城景阳路（地铁站南行300米）	106.3141560,29.6131440
保利i立方	增城永宁大道（时代廊桥旁）	113.3164070,23.0626800
天俊华府	京台高速天俊华府	119.0907520,26.2191210
汇金兰庭	嘉善西塘古镇西园路319号	120.8897960,30.9406630
礼顿金御海湾	沙田镇齐沙轮渡路口	113.6176260,22.8236250
赣州-铂园	兴国路主干道达芬奇国际中心旁	114.9320200,25.8250070
苏河公园	绿地大道1299号	121.6979800,31.1596100
开元万科滨河道花苑	中环南路与越秀南路交叉口	120.7400513,30.7472134
南国海立方	海南省海口市龙华区滨海大道文华路18号（在文华大酒店的东侧）	110.3000480,20.0214770
荷悦台	惠州市仲恺高新区惠环街道松泰路76号	114.3641880,23.0352580
尚东新天地	博爱七路123号（实地璟湖城旁）	113.4490980,22.5157560
嘉和瑞景	华逸路111号	104.2439810,30.8876090
蓝光公园悦庭	崔家店南路2号	104.1365110,30.6590310
滨海名都	滨海新区福州道	117.6580310,39.0451320
锦江钻石LIFE	淡水云新路与人民四路交汇处	114.4576270,22.7934910
皇冠豪苑	惠州市惠城区水口街道办事处合生大道8号皇冠豪苑	114.4623120,23.0968720
润和山居	(长清)居里路518号	116.8262000,36.5605690
三河新天地	肥西-肥西县城-合铜路	117.1593940,31.6887440
正荣美的云樾	惠山地铁西漳站区凤宾路与天丰路交叉口西南侧	120.3017500,31.6419860
银城锦一方	鼓楼区清凉门大街与锦江路交汇处（华润苏果西面）	118.7332290,32.0467690
吉尔西苑	槐荫经十路29286	116.9072800,36.6495370
雨荷水岸	中华北大街与古城西路交口东行200米路南	114.4740440,38.1030940
聚仁滨江悦城	东莲路聚仁滨江悦城	115.8498020,28.5850530
翰文九万里	安八路与文景路交汇处	102.4161360,24.8557340
御金都	天府路与北园东路交汇处	120.4225180,37.3713890
新科中心	鹿泉新华路与昌盛大街交汇处北行300米路西查看地图	114.3712890,38.0592990
翡翠山河	观海路西翡翠山河	112.7118030,23.3320240
永丰清华园	兴城大道与月亮湾路交汇处	114.0769280,30.3180600
阳柳新河湾	潮阳中华路南门桥转盘以西	116.6016010,23.2540450
御湘湖	湘湖路3333号	120.1890250,30.1214220
和贵花园	县环东二路	110.1053630,19.3804270
建邦国宸府别墅	同凯路228弄（龙胜东路同凯路路口）	121.3621180,30.7326640
西铁领寓	高新区雷锋大道以东	112.8937290,28.2406890
福晟-奥园	建新南路以北，南二环路以西	119.3148580,26.0188500
中产风尚中心	穿金路349号（与白云路交汇处）	102.7332380,25.0581680
御上江南	广益路与亚欧路口	120.8183740,30.7363040
金府星座	成都市金牛区金府路555号	104.0318890,30.7098180
颐和盛世	炭步镇佛一环北线官抱路(86)出口	113.2724100,23.1745710
招商兰溪谷	漳州港厦门湾南岸双鱼岛对面	118.0760980,24.4847480
博雅轩花园洋房	城关镇中心	116.8746680,39.5308190
凯虹广场	暂无	120.2559710,31.7632110
名巨中央花园	横沥康乐路（东部快速石排出口处、石排与横沥的交界处）	113.9584170,23.0373560
宝城花园	东城-石井-莞樟路	113.8177600,23.0279920
碧桂园-鼎峰城市花园	企石湖滨路与东部快速交汇处	114.0275080,23.0607240
万象美域	井圭路7号	113.0240400,28.1284850
碧桂园原乡水郡	诺德中心128院2-102	115.2455730,39.2903970
怡龙湾公寓	顺德乐从镇佛山新城富华路6号查看地图	113.6603400,23.1565510
星河118院墅	港东新城港东12道（永明路）南	117.4985410,38.8414520
山水和苑	蓟州区迎宾大街与凤凰大道交口	117.4606320,40.0587790
岛里天成	府新路101号（府新路与商贸街交界处）	119.9488180,36.7799480
中海首开拾光里	金港南路中海首开拾光里	116.5709930,40.0182660
泛华东福城	新华路与宏建路交汇处	121.4293380,31.2020430
仙女峯	仙女山银杏大道158号	107.7622370,29.4309320
康德国际	单巷子88号	106.5168250,29.5426350
君御世家	张庄路与匡山中路交汇	116.9498270,36.6637590
璀璨熙湖	东大路璀璨熙湖	119.3639120,25.6991180
阳光城山与海	快安区儒江东路（江滨东大道船舶大厦旁东滨二路直行约200米左拐）	119.4379250,26.0037590
中南高科创智花园	裕民路中南高科·桓台创智未来产业小镇	117.9818610,36.8757610
棕榈印象	成洛大道西河段	104.2461850,30.6493010
宛溪雅居	联福路宛溪雅居	120.5012870,31.5942590
滨河苑	店埠镇沿河东路南段	117.4660740,31.8793060
碧桂园-翡翠城-峰璟	绿岛新区永嘉大道与黛山大道交界处	106.2050060,29.5663640
绿地海珀天沅	郎茂山路与二环南路交汇处北行700米	116.9792490,36.6227960
维科水岸春晖	宁波市鄞州区春韵路与盛梅北路交汇处（宁波轨道1号线东环南路站）	121.6504600,29.8541100
华屹-大观	石人新区金龙大桥南侧（实验中学对岸）	114.8042920,24.9115770
天津万达公馆	海河东路与大直沽八号路交口	117.2375340,39.1032730
新祺园	惠阳淡水北环路与人民路交汇处	113.9000070,22.7945250
润泽御府	北京市朝阳区北五环顾家庄桥向北约2.6公里	116.4280730,40.0556230
富田兴和湾	龙湖宜居教育区祥云路和鸿鹄路交汇处北300米	113.6950040,34.6286540
桂湖正荣府	桂湖西路294号	104.1497990,30.8239800
柏润国际花园	新安南路10号	119.0528160,29.6000200
丰泽园	洪梅中心幼儿园对面	113.6145630,22.9862770
港龙中南翰林首府	河滨中路南侧，如意中路西侧	120.4575560,32.5519500
润和亿城嘉园	华丰路与华中路交叉口	120.2026790,30.3401000
幸福佳苑	大学路密杞路向南500米路东	114.0508540,34.6982580
长河东岸	丁沟镇腾飞路与纵七路交汇处	119.6854900,32.5509010
金地云栖湾	嘉兴市平湖新埭镇新兴北路与新扬路交叉口东300米	121.0946040,30.8241550
宏发前城	宝安大道和海城路交汇处	113.8727010,22.5683200
中粮天悦壹号	北滨路中粮天悦壹号流水美术馆	106.4617640,29.5845760
